time,latitude,longitude,depth,magnitude,region,rms,gap,dmin,nst,horizontalError,depthError,magError,magNst
2018-01-13 02:00:00,33.6378,-91.4474,17.11,2.2,New Madrid Zone,0.571,182.0,3.528,94,13.3,9.43,0.336,23
2018-01-13 14:00:00,47.6073,-124.5716,33.47,2.01,Cascadia Zone,0.807,181.1,0.825,61,8.29,13.37,0.015,78
2018-01-13 23:00:00,31.4102,85.7136,30.34,3.0,Himalayan Belt,0.402,28.2,3.775,21,17.39,9.69,0.122,15
2018-01-14 07:00:00,37.1441,-84.8675,8.48,2.15,New Madrid Zone,0.811,349.4,3.478,40,17.55,11.75,0.018,65
2018-01-15 13:00:00,42.6156,28.2817,14.23,2.34,Anatolian Fault,1.327,124.7,1.741,16,19.8,12.41,0.29,62
2018-01-15 15:00:00,40.7008,33.6891,21.72,5.01,Anatolian Fault,0.32,315.3,0.051,108,0.69,11.71,0.447,50
2018-01-16 03:00:00,46.1456,-123.9989,26.1,4.87,Cascadia Zone,0.288,59.5,4.617,81,19.04,8.78,0.236,64
2018-01-16 04:00:00,48.7931,-117.7907,10.01,3.19,Cascadia Zone,1.202,69.4,4.474,22,15.31,4.41,0.283,49
2018-01-16 11:00:00,52.5852,-165.0737,56.98,3.7,Aleutian Arc,0.795,263.4,3.916,23,8.44,6.34,0.061,37
2018-01-16 14:00:00,31.5105,147.1746,26.11,2.47,Pacific Ring,1.054,108.7,4.078,46,9.65,14.49,0.129,58
2018-01-16 22:00:00,37.3605,34.7487,22.04,2.58,Anatolian Fault,0.453,229.0,0.371,17,12.98,11.36,0.168,40
2018-01-17 01:00:00,27.9517,146.4132,48.93,2.99,Pacific Ring,0.534,72.6,1.298,11,4.98,10.28,0.412,29
2018-01-17 08:00:00,27.4433,147.2478,39.29,3.47,Pacific Ring,0.731,181.4,1.366,67,3.18,4.92,0.359,70
2018-01-17 19:00:00,38.3197,-91.7015,13.27,3.87,New Madrid Zone,0.485,175.8,4.227,96,3.1,6.99,0.159,33
2018-01-17 19:00:00,35.0396,-89.1295,5.0,4.63,New Madrid Zone,1.183,175.3,2.624,28,12.19,8.1,0.09,21
2018-01-18 15:00:00,14.6345,-64.4944,33.71,2.2,Caribbean Arc,1.401,179.9,4.926,57,11.86,11.19,0.148,13
2018-01-18 18:00:00,56.7641,-173.7515,54.69,2.73,Aleutian Arc,0.721,141.8,3.352,112,1.81,4.98,0.228,38
2018-01-19 03:00:00,13.9664,-57.7985,19.87,2.06,Caribbean Arc,1.303,344.9,0.673,12,18.3,1.6,0.122,64
2018-01-19 05:00:00,49.8854,-168.2754,78.85,2.13,Aleutian Arc,0.707,50.6,3.744,110,8.74,3.95,0.223,58
2018-01-19 12:00:00,40.7314,-92.0628,10.19,2.53,New Madrid Zone,1.275,30.6,4.701,107,10.76,8.2,0.33,32
2018-01-19 17:00:00,37.9729,33.3758,16.08,3.62,Anatolian Fault,0.125,256.3,4.417,94,2.43,14.03,0.266,60
2018-01-20 00:00:00,32.3408,146.0539,28.13,2.08,Pacific Ring,0.322,310.6,1.207,116,11.99,3.64,0.254,19
2018-01-20 12:00:00,49.6314,-170.7213,51.66,2.53,Aleutian Arc,1.242,56.8,4.977,93,11.64,2.4,0.263,23
2018-01-20 15:00:00,48.3022,-169.0699,47.89,2.99,Aleutian Arc,0.55,273.7,2.51,95,14.01,12.84,0.014,23
2018-01-20 19:00:00,34.9551,148.1199,45.36,2.43,Pacific Ring,0.311,187.8,4.052,11,16.66,10.77,0.027,11
2018-01-20 19:00:00,14.4013,-61.2008,14.27,2.75,Caribbean Arc,0.435,141.8,0.601,98,4.1,11.35,0.242,39
2018-01-21 00:00:00,36.1846,-84.1372,17.94,3.22,New Madrid Zone,0.514,157.8,3.268,50,16.57,9.98,0.18,63
2018-01-21 12:00:00,-2.6833,97.9946,52.81,2.07,Sumatra Fault,1.306,331.0,0.442,37,14.86,8.14,0.475,32
2018-01-21 18:00:00,19.7616,-59.9279,14.35,2.57,Caribbean Arc,0.944,291.1,3.153,95,16.02,12.78,0.141,70
2018-01-21 22:00:00,16.0328,-62.2455,20.6,4.11,Caribbean Arc,1.217,208.6,4.931,72,1.2,0.85,0.443,67
2018-01-22 04:00:00,36.8975,-87.1885,15.24,4.24,New Madrid Zone,0.408,239.6,4.477,83,8.33,5.49,0.372,60
2018-01-22 04:00:00,36.349,-89.4065,18.61,2.22,New Madrid Zone,0.203,93.7,0.176,62,6.35,2.79,0.378,18
2018-01-22 15:00:00,36.6254,-93.2761,11.56,6.7,New Madrid Zone,0.614,242.2,0.803,69,5.24,3.42,0.449,18
2018-01-22 15:00:00,33.9416,152.6462,26.08,2.04,Pacific Ring,0.921,192.1,3.485,101,3.37,12.86,0.058,71
2018-01-23 02:00:00,34.7432,145.1717,48.43,2.55,Pacific Ring,1.065,343.6,4.828,23,3.71,8.53,0.322,59
2018-01-23 04:00:00,-3.0712,105.5672,45.2,4.23,Sumatra Fault,0.361,136.8,1.488,113,7.95,14.58,0.329,67
2018-01-23 06:00:00,-6.0683,105.3782,27.22,2.43,Sumatra Fault,1.074,224.7,3.228,48,4.24,10.83,0.407,13
2018-01-23 08:00:00,34.2606,152.9885,49.45,3.97,Pacific Ring,0.503,30.1,0.48,30,10.12,12.73,0.432,50
2018-01-23 10:00:00,38.1213,-89.9016,15.71,3.35,New Madrid Zone,0.499,82.4,0.843,88,4.87,7.17,0.131,47
2018-01-24 17:00:00,18.2646,-62.7995,36.87,2.59,Caribbean Arc,1.368,50.1,1.603,114,19.02,8.64,0.32,37
2018-01-25 05:00:00,18.4196,-56.5421,26.12,2.01,Caribbean Arc,0.862,163.6,2.262,51,18.36,5.45,0.43,72
2018-01-26 00:00:00,29.6511,84.6401,23.77,2.1,Himalayan Belt,0.698,155.4,4.942,59,5.2,13.38,0.251,49
2018-01-27 02:00:00,-7.3634,98.7631,30.93,3.34,Sumatra Fault,1.229,200.5,2.836,66,10.75,3.05,0.149,40
2018-01-27 06:00:00,46.029,-125.676,17.28,3.18,Cascadia Zone,1.455,207.1,3.524,62,19.16,8.88,0.334,69
2018-01-27 14:00:00,16.2487,-60.2825,34.98,4.84,Caribbean Arc,1.044,37.1,2.749,38,6.2,5.36,0.314,28
2018-01-27 15:00:00,-6.5537,102.039,30.45,2.16,Sumatra Fault,0.982,138.5,0.535,42,3.46,14.13,0.167,28
2018-01-27 18:00:00,-4.0803,99.1689,44.41,3.66,Sumatra Fault,0.487,292.2,2.54,51,18.62,1.43,0.312,29
2018-01-28 16:00:00,42.5985,35.7781,13.4,3.75,Anatolian Fault,0.404,41.5,3.903,91,16.29,0.17,0.256,57
2018-01-28 19:00:00,25.2514,149.4471,24.49,4.48,Pacific Ring,1.322,330.5,0.374,87,11.02,14.32,0.401,56
2018-01-29 00:00:00,53.5176,-172.5355,40.45,3.68,Aleutian Arc,1.38,26.1,3.159,74,11.61,7.17,0.428,53
2018-01-29 08:00:00,57.3123,-168.7122,55.34,3.16,Aleutian Arc,1.018,254.2,3.613,69,14.03,9.62,0.067,72
2018-01-29 14:00:00,26.8359,154.7822,24.37,3.27,Pacific Ring,0.67,122.0,1.916,62,12.05,8.79,0.319,68
2018-01-29 20:00:00,23.5036,81.2211,16.86,4.33,Himalayan Belt,1.415,304.8,3.766,117,1.17,9.66,0.426,12
2018-01-30 03:00:00,55.3701,-167.5874,72.1,2.57,Aleutian Arc,0.464,174.4,3.473,48,10.77,7.91,0.091,50
2018-01-30 06:00:00,39.3752,-89.1804,10.86,3.38,New Madrid Zone,0.987,153.9,2.27,39,2.63,6.08,0.161,76
2018-01-31 02:00:00,30.7943,154.2746,47.5,2.41,Pacific Ring,0.715,304.3,4.182,74,3.22,1.7,0.478,35
2018-01-31 11:00:00,22.6849,80.2178,28.76,2.54,Himalayan Belt,0.911,67.8,1.063,18,10.46,1.52,0.136,37
2018-02-01 03:00:00,40.7936,37.593,20.78,4.92,Anatolian Fault,1.212,301.7,3.159,112,11.84,3.68,0.116,45
2018-02-01 20:00:00,40.2031,35.0408,12.69,2.18,Anatolian Fault,0.591,214.7,1.967,55,18.09,5.29,0.262,63
2018-02-02 04:00:00,49.1151,-169.8414,43.38,4.17,Aleutian Arc,0.631,131.3,0.106,19,8.33,7.44,0.208,43
2018-02-02 06:00:00,26.7079,153.7605,22.58,2.64,Pacific Ring,0.511,253.3,1.022,119,1.06,2.13,0.396,78
2018-02-02 15:00:00,25.2918,86.2436,43.15,2.05,Himalayan Belt,0.695,214.9,1.397,34,13.6,9.07,0.092,71
2018-02-04 06:00:00,33.9699,149.4172,32.81,2.03,Pacific Ring,1.07,175.6,3.305,32,17.28,13.55,0.335,24
2018-02-04 15:00:00,19.8673,-64.3897,34.93,3.27,Caribbean Arc,1.423,340.5,4.625,62,4.49,5.93,0.311,32
2018-02-05 03:00:00,42.3461,-118.9066,15.52,2.65,Cascadia Zone,0.247,315.8,4.187,101,8.29,2.21,0.063,49
2018-02-06 22:00:00,33.1551,151.1523,47.8,2.12,Pacific Ring,1.451,245.4,0.58,44,15.0,11.28,0.093,39
2018-02-07 02:00:00,26.0139,79.8756,18.64,2.65,Himalayan Belt,0.738,259.3,4.804,14,5.7,7.46,0.093,11
2018-02-07 19:00:00,50.1376,-122.6469,14.17,3.05,Cascadia Zone,0.375,20.8,0.911,59,7.93,5.6,0.417,54
2018-02-08 01:00:00,51.01,-170.6803,63.11,2.19,Aleutian Arc,0.656,126.3,2.108,112,14.17,4.98,0.098,50
2018-02-08 10:00:00,32.7016,153.0716,23.61,2.37,Pacific Ring,0.511,275.1,2.595,45,7.5,0.12,0.157,52
2018-02-08 18:00:00,18.3931,-57.8895,29.95,2.85,Caribbean Arc,0.493,72.3,0.265,94,2.71,5.43,0.489,34
2018-02-08 18:00:00,34.2148,-87.1792,16.54,4.29,New Madrid Zone,0.781,110.4,3.423,33,11.37,10.71,0.387,23
2018-02-09 08:00:00,12.2956,-59.1051,25.89,2.13,Caribbean Arc,0.337,271.1,1.929,97,10.09,0.59,0.425,75
2018-02-09 15:00:00,41.3929,33.7773,10.82,3.39,Anatolian Fault,1.226,120.3,0.595,23,19.27,11.63,0.127,77
2018-02-09 18:00:00,53.6083,-173.4083,45.96,2.98,Aleutian Arc,0.712,269.4,0.83,12,16.74,9.3,0.097,65
2018-02-10 01:00:00,1.9278,103.1775,43.09,2.7,Sumatra Fault,1.22,241.7,3.25,98,18.57,5.9,0.219,78
2018-02-10 03:00:00,26.1704,82.5936,24.31,2.16,Himalayan Belt,1.085,312.5,0.512,31,0.5,13.29,0.228,74
2018-02-10 13:00:00,37.6481,-91.1382,7.98,5.31,New Madrid Zone,0.713,27.1,2.423,62,6.5,2.07,0.194,54
2018-02-10 20:00:00,-3.9036,106.6624,25.74,2.19,Sumatra Fault,0.931,24.3,2.276,103,2.03,5.54,0.195,30
2018-02-10 23:00:00,40.1835,-86.6004,6.08,3.75,New Madrid Zone,1.261,129.5,2.995,91,12.78,10.12,0.447,31
2018-02-11 16:00:00,47.2912,-121.1581,25.85,3.52,Cascadia Zone,0.247,138.6,0.783,13,12.86,12.25,0.379,65
2018-02-11 16:00:00,30.735,153.5363,27.26,4.51,Pacific Ring,1.125,327.9,3.289,55,0.99,13.81,0.24,5
2018-02-11 21:00:00,14.3536,-62.9013,39.72,2.24,Caribbean Arc,0.282,314.2,3.473,95,6.48,9.38,0.357,28
2018-02-12 00:00:00,55.693,-174.8897,50.81,2.79,Aleutian Arc,0.464,270.9,0.694,66,4.38,0.28,0.128,78
2018-02-12 01:00:00,36.1337,32.7442,26.99,2.23,Anatolian Fault,1.013,37.7,4.9,75,9.46,6.51,0.291,9
2018-02-12 06:00:00,-0.723,99.6487,42.67,2.41,Sumatra Fault,1.095,97.8,1.993,37,4.07,1.1,0.176,9
2018-02-12 11:00:00,39.6665,35.7174,14.47,2.84,Anatolian Fault,0.951,196.1,3.779,88,12.59,0.94,0.452,4
2018-02-13 08:00:00,0.3422,104.7955,27.31,3.17,Sumatra Fault,1.141,40.1,4.916,75,3.72,7.08,0.415,16
2018-02-14 05:00:00,44.7718,-123.6696,34.12,3.77,Cascadia Zone,1.44,275.9,0.754,13,6.23,9.4,0.312,24
2018-02-14 22:00:00,1.9916,101.0534,46.71,4.82,Sumatra Fault,1.023,115.2,1.403,30,16.47,5.66,0.043,10
2018-02-14 22:00:00,30.6713,147.4889,49.49,4.25,Pacific Ring,0.691,138.5,4.415,35,19.97,3.08,0.13,54
2018-02-15 16:00:00,38.6785,37.6258,23.24,2.66,Anatolian Fault,0.879,135.1,0.937,62,6.89,0.68,0.365,59
2018-02-16 00:00:00,35.3267,36.3456,9.45,2.33,Anatolian Fault,0.189,30.7,0.739,105,5.75,7.25,0.249,79
2018-02-16 17:00:00,27.7737,150.8772,41.97,3.49,Pacific Ring,1.498,326.3,0.608,67,6.36,13.2,0.352,20
2018-02-16 19:00:00,29.8157,147.0224,36.42,3.09,Pacific Ring,0.385,100.0,1.248,32,5.51,4.01,0.443,27
2018-02-17 06:00:00,46.5376,-125.7764,30.05,3.84,Cascadia Zone,0.637,42.7,3.963,89,18.05,3.62,0.234,17
2018-02-17 21:00:00,28.5141,153.0956,42.06,3.4,Pacific Ring,1.375,91.1,3.149,12,1.72,0.24,0.287,51
2018-02-18 09:00:00,39.2048,37.8393,19.51,2.24,Anatolian Fault,0.597,323.0,4.983,113,14.62,8.42,0.299,44
2018-02-18 12:00:00,28.3405,79.5699,16.57,2.01,Himalayan Belt,0.112,56.4,1.205,30,19.74,4.66,0.072,45
2018-02-18 17:00:00,29.6504,81.0513,41.18,2.89,Himalayan Belt,1.103,56.4,3.949,24,6.97,11.44,0.478,31
2018-02-18 21:00:00,28.6232,82.0107,34.77,3.39,Himalayan Belt,0.176,195.8,0.963,77,11.09,8.83,0.158,52
2018-02-18 22:00:00,53.7632,-171.742,58.77,2.22,Aleutian Arc,0.9,190.7,3.451,79,17.96,6.95,0.014,51
2018-02-19 06:00:00,19.6958,-64.8017,25.3,3.0,Caribbean Arc,0.677,278.3,2.361,105,12.93,11.51,0.404,56
2018-02-19 16:00:00,28.8434,152.3839,43.23,3.12,Pacific Ring,1.403,246.5,0.181,99,4.09,8.73,0.239,35
2018-02-19 17:00:00,26.4606,83.0913,25.46,3.61,Himalayan Belt,0.14,256.3,4.654,77,14.56,12.38,0.187,11
2018-02-20 04:00:00,56.6122,-174.0179,79.51,3.13,Aleutian Arc,1.335,245.9,3.49,36,6.8,13.72,0.321,4
2018-02-20 18:00:00,34.9385,154.6929,41.54,2.19,Pacific Ring,1.255,297.5,3.734,37,12.83,4.81,0.231,32
2018-02-20 23:00:00,50.5608,-166.6715,52.48,7.23,Aleutian Arc,0.632,79.6,2.782,32,14.78,13.24,0.113,15
2018-02-20 23:00:00,44.58,-126.7975,33.92,2.82,Cascadia Zone,0.452,310.2,1.885,84,12.32,7.13,0.418,6
2018-02-23 03:00:00,19.6057,-60.306,23.7,4.22,Caribbean Arc,0.281,299.1,3.663,52,17.79,5.34,0.321,51
2018-02-23 13:00:00,41.6181,31.54,29.93,2.68,Anatolian Fault,0.608,62.2,0.616,37,1.16,10.36,0.046,18
2018-02-23 17:00:00,29.5006,152.4809,47.36,2.43,Pacific Ring,1.352,343.0,2.172,57,2.97,7.19,0.159,79
2018-02-24 19:00:00,17.7189,-60.8335,28.29,3.54,Caribbean Arc,0.899,311.8,0.097,51,18.53,5.36,0.235,78
2018-02-25 13:00:00,29.0383,146.9948,46.28,3.46,Pacific Ring,0.113,116.1,0.725,77,13.31,14.14,0.476,53
2018-02-26 01:00:00,33.4279,145.341,36.06,3.26,Pacific Ring,1.345,334.1,3.066,18,18.65,12.09,0.024,47
2018-02-27 13:00:00,31.3371,148.8264,38.4,4.02,Pacific Ring,0.731,270.3,2.735,79,10.38,14.88,0.037,40
2018-02-28 02:00:00,39.9634,-93.87,6.28,2.28,New Madrid Zone,0.354,212.4,2.113,107,16.37,5.19,0.137,32
2018-02-28 06:00:00,29.2559,81.4505,37.62,3.5,Himalayan Belt,0.35,175.4,4.669,44,12.61,0.28,0.358,49
2018-02-28 06:00:00,44.2674,-123.5039,24.91,2.38,Cascadia Zone,1.129,226.5,2.908,90,13.54,3.17,0.183,12
2018-02-28 07:00:00,0.9212,97.8363,35.1,2.88,Sumatra Fault,0.84,167.8,2.946,110,5.56,9.62,0.221,36
2018-02-28 20:00:00,31.2549,145.2824,32.32,2.51,Pacific Ring,0.598,327.5,1.38,72,6.03,1.69,0.152,39
2018-03-01 02:00:00,49.7375,-126.2505,23.95,2.15,Cascadia Zone,1.051,245.0,3.007,103,1.71,1.67,0.434,41
2018-03-01 05:00:00,28.8437,81.3208,20.89,3.59,Himalayan Belt,0.509,137.5,2.297,83,9.24,8.96,0.302,31
2018-03-01 05:00:00,43.6228,-122.2216,33.65,4.06,Cascadia Zone,1.196,76.3,2.86,97,11.27,6.12,0.167,26
2018-03-01 15:00:00,28.314,151.5755,26.89,2.13,Pacific Ring,0.509,150.6,2.765,38,19.68,4.45,0.226,10
2018-03-01 19:00:00,16.254,-65.9855,20.59,4.34,Caribbean Arc,0.105,112.8,4.571,108,10.42,8.34,0.173,21
2018-03-02 04:00:00,1.1114,97.2899,51.98,2.14,Sumatra Fault,0.483,108.9,4.098,86,19.63,10.7,0.215,56
2018-03-02 16:00:00,38.3254,34.232,26.86,2.3,Anatolian Fault,0.638,311.8,2.53,65,13.86,8.66,0.037,46
2018-03-02 19:00:00,-0.3931,98.0725,49.56,2.02,Sumatra Fault,0.836,51.7,4.822,107,13.03,1.05,0.169,31
2018-03-02 22:00:00,30.2194,146.7346,28.18,2.1,Pacific Ring,0.836,131.3,4.819,24,15.9,4.81,0.12,77
2018-03-02 23:00:00,38.6534,28.1368,9.8,2.36,Anatolian Fault,0.984,160.7,2.745,25,5.99,9.99,0.483,6
2018-03-03 02:00:00,54.9484,-165.6537,49.14,2.03,Aleutian Arc,1.349,258.4,0.542,11,16.12,12.17,0.069,26
2018-03-03 07:00:00,42.4348,-121.2819,23.02,2.37,Cascadia Zone,0.308,339.4,4.707,18,7.56,7.03,0.244,26
2018-03-03 21:00:00,54.7019,-173.2483,53.69,3.25,Aleutian Arc,0.121,62.7,1.266,54,9.8,2.16,0.34,48
2018-03-03 21:00:00,30.1002,84.9906,28.99,2.82,Himalayan Belt,0.833,243.6,1.176,118,19.5,4.31,0.359,5
2018-03-04 01:00:00,55.7132,-166.5856,60.88,3.24,Aleutian Arc,1.26,280.1,1.303,86,4.38,0.7,0.109,16
2018-03-04 02:00:00,-7.9902,100.6326,46.24,3.78,Sumatra Fault,0.462,345.2,1.316,94,10.24,1.92,0.325,77
2018-03-04 03:00:00,29.7199,80.6643,29.95,3.21,Himalayan Belt,0.447,102.6,4.417,43,10.95,12.49,0.137,12
2018-03-04 06:00:00,26.8663,81.0849,17.94,2.37,Himalayan Belt,1.328,220.6,4.077,64,12.03,10.54,0.455,10
2018-03-04 11:00:00,32.6556,-92.551,9.8,2.42,New Madrid Zone,0.895,316.4,2.699,12,12.03,7.33,0.454,30
2018-03-05 09:00:00,33.7427,150.7119,45.74,2.59,Pacific Ring,0.173,241.3,0.581,90,8.45,8.49,0.403,22
2018-03-06 11:00:00,31.6262,86.4484,30.59,4.61,Himalayan Belt,1.306,177.1,3.91,5,17.38,8.97,0.128,29
2018-03-06 12:00:00,50.4875,-167.7981,72.2,4.46,Aleutian Arc,0.974,346.5,2.939,24,17.56,4.04,0.032,36
2018-03-07 14:00:00,44.1092,-123.9467,27.49,2.98,Cascadia Zone,0.168,208.1,4.233,10,10.19,12.78,0.012,24
2018-03-07 22:00:00,16.8236,-59.3929,39.55,2.31,Caribbean Arc,1.049,76.9,3.4,41,0.96,11.57,0.035,20
2018-03-07 23:00:00,29.7607,152.8025,22.04,2.71,Pacific Ring,1.381,336.3,0.429,66,6.57,5.2,0.231,12
2018-03-08 02:00:00,1.9481,98.1479,50.41,2.06,Sumatra Fault,0.247,338.6,4.705,27,3.32,3.68,0.263,46
2018-03-08 11:00:00,46.9614,-119.6042,15.27,4.21,Cascadia Zone,1.281,171.9,1.096,20,19.07,1.18,0.108,29
2018-03-08 13:00:00,29.9986,154.9393,40.45,4.53,Pacific Ring,1.32,250.2,0.862,7,5.27,13.75,0.337,73
2018-03-08 19:00:00,52.656,-169.5736,44.33,3.07,Aleutian Arc,0.152,291.5,1.807,19,10.49,11.57,0.116,50
2018-03-09 04:00:00,29.984,149.6148,25.75,2.41,Pacific Ring,1.217,119.4,1.105,97,0.88,4.34,0.139,23
2018-03-09 08:00:00,0.4456,103.7398,54.72,2.18,Sumatra Fault,1.408,68.8,4.05,99,14.2,2.06,0.337,71
2018-03-09 12:00:00,-4.7256,104.682,31.06,2.58,Sumatra Fault,1.257,132.4,1.248,71,14.13,12.21,0.18,65
2018-03-09 13:00:00,51.8482,-170.8191,41.22,3.22,Aleutian Arc,0.377,225.9,3.141,35,13.69,7.1,0.268,28
2018-03-09 22:00:00,33.0002,153.6881,40.83,2.25,Pacific Ring,1.311,150.8,1.327,69,8.48,9.81,0.247,56
2018-03-10 02:00:00,42.0271,-126.7997,12.39,2.46,Cascadia Zone,0.983,124.5,3.685,10,4.41,6.18,0.197,13
2018-03-10 03:00:00,28.5156,84.9532,28.16,3.36,Himalayan Belt,1.333,246.0,4.332,93,5.8,4.17,0.402,17
2018-03-10 06:00:00,-3.0134,106.1821,44.56,2.35,Sumatra Fault,0.571,209.0,0.223,75,10.52,11.77,0.024,63
2018-03-10 07:00:00,55.7826,-174.8844,73.74,3.31,Aleutian Arc,0.324,33.0,3.832,24,1.01,2.16,0.284,41
2018-03-10 18:00:00,41.7591,-118.083,30.5,3.51,Cascadia Zone,0.742,45.8,4.644,75,3.21,8.45,0.068,14
2018-03-10 23:00:00,36.8315,31.4832,26.36,2.38,Anatolian Fault,1.193,306.7,2.467,37,15.47,0.23,0.463,69
2018-03-11 08:00:00,33.6078,-84.9057,10.55,3.93,New Madrid Zone,0.425,134.0,3.361,41,0.92,2.69,0.137,16
2018-03-11 08:00:00,29.6782,146.2167,38.91,3.9,Pacific Ring,0.957,289.2,2.203,115,2.31,4.91,0.123,79
2018-03-11 10:00:00,18.0709,-62.9982,22.98,5.89,Caribbean Arc,0.928,265.3,3.807,87,14.56,0.98,0.272,63
2018-03-11 12:00:00,-2.1681,102.9284,37.42,2.06,Sumatra Fault,0.693,47.9,3.038,106,17.67,9.92,0.114,69
2018-03-12 07:00:00,25.9047,79.0409,18.58,4.32,Himalayan Belt,1.45,158.0,1.244,76,2.74,1.17,0.416,35
2018-03-13 17:00:00,50.8393,-118.0056,19.88,4.51,Cascadia Zone,0.54,259.8,1.115,27,17.25,9.28,0.495,13
2018-03-13 17:00:00,-7.0472,102.9756,57.23,3.19,Sumatra Fault,0.935,318.0,1.62,41,5.05,7.63,0.127,58
2018-03-13 23:00:00,35.1655,35.0957,13.07,2.64,Anatolian Fault,0.29,125.5,1.717,108,14.86,14.59,0.304,21
2018-03-14 05:00:00,31.1836,-90.8822,14.57,2.01,New Madrid Zone,1.293,245.7,1.334,84,15.87,4.67,0.028,74
2018-03-15 04:00:00,33.704,150.5823,29.74,2.42,Pacific Ring,1.242,168.6,1.632,59,16.39,1.96,0.43,72
2018-03-15 18:00:00,-4.3165,101.3235,26.09,2.36,Sumatra Fault,1.331,100.3,2.791,9,13.37,4.91,0.45,71
